Age,Conference,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
28,,"Jan 17, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
26,,"Jan 10, 1988",1983,6-3,Byron Scott,SG,1987-1988,1988,4,Los Angeles Lakers,195,1.0
24,,"Jan 3, 1988",1985,6-9,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1.0
28,,"Dec 27, 1987",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1.0
29,,"Dec 20, 1987",1981,6-10,Larry Nance,PF,1987-1988,1988,6,Phoenix Suns,205,1.0
28,,"Dec 13, 1987",1979,6-9,Magic Johnson,PG,1987-1988,1988,8,Los Angeles Lakers,255,1.0
25,,"Dec 6, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
25,,"Nov 29, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1.0
24,,"Nov 22, 1987",1985,6-7,Xavier McDaniel,PF,1987-1988,1988,2,Seattle SuperSonics,205,1.0
31,,"Nov 15, 1987",1978,6-9,Larry Bird,SF,1987-1988,1988,8,Boston Celtics,220,1.0
25,,"Apr 23, 1989",1985,6-7,Xavier McDaniel,PF,1988-1989,1989,3,Seattle SuperSonics,205,1.0
25,,"Apr 16, 1989",1985,6-9,Karl Malone,PF,1988-1989,1989,3,Utah Jazz,265,1.0
26,,"Apr 9, 1989",1983,6-7,Clyde Drexler,SG,1988-1989,1989,5,Portland Trail Blazers,210,1.0
26,,"Apr 2, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
26,,"Mar 26, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
22,,"Mar 19, 1989",1987,6-1,Kevin Johnson,PG,1988-1989,1989,1,Phoenix Suns,180,1.0
27,,"Mar 12, 1989",1981,6-1,Isiah Thomas,PG,1988-1989,1989,7,Detroit Pistons,180,1.0
24,,"Mar 5, 1989",1986,6-8,Chuck Person,SF,1988-1989,1989,2,Indiana Pacers,220,1.0
26,,"Feb 26, 1989",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,240,1.0
26,,"Feb 19, 1989",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,255,1.0
25,,"Feb 5, 1989",1986,6-6,Ron Harper,SG,1988-1989,1989,2,Cleveland Cavaliers,185,1.0
29,,"Jan 29, 1989",1981,6-10,Tom Chambers,PF,1988-1989,1989,7,Phoenix Suns,220,1.0
25,,"Jan 22, 1989",1985,6-7,Chris Mullin,SF,1988-1989,1989,3,Golden State Warriors,215,1.0
26,,"Jan 15, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
28,,"Jan 8, 1989",1983,6-7,Dale Ellis,GF,1988-1989,1989,5,Seattle SuperSonics,205,1.0
29,,"Jan 1, 1989",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,255,1.0
26,,"Dec 25, 1988",1983,6-7,Clyde Drexler,SG,1988-1989,1989,5,Portland Trail Blazers,210,1.0
35,,"Dec 18, 1988",1976,7-0,Robert Parish,C,1988-1989,1989,11,Boston Celtics,230,1.0
26,,"Dec 11, 1988",1985,5-10,Michael Adams,PG,1988-1989,1989,3,Denver Nuggets,163,1.0
29,,"Dec 4, 1988",1979,6-9,Magic Johnson,PG,1988-1989,1989,9,Los Angeles Lakers,255,1.0
26,,"Nov 27, 1988",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,240,1.0
26,,"Nov 20, 1988",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1.0
26,,"Nov 13, 1988",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,255,1.0
24,,"Apr 22, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
30,,"Apr 15, 1990",1979,6-9,Magic Johnson,PG,1989-1990,1990,10,Los Angeles Lakers,255,1.0
27,,"Apr 8, 1990",1984,6-6,Charles Barkley,PF,1989-1990,1990,5,Philadelphia Sixers,252,1.0
27,,"Apr 1, 1990",1984,6-6,Michael Jordan,SG,1989-1990,1990,5,Chicago Bulls,215,1.0
24,,"Mar 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
23,,"Mar 18, 1990",1987,6-1,Kevin Johnson,PG,1989-1990,1990,2,Phoenix Suns,180,1.0
24,,"Mar 11, 1990",1988,6-11,Rony Seikaly,C,1989-1990,1990,1,Miami Heat,230,1.0
27,,"Mar 4, 1990",1984,7-0,Hakeem Olajuwon,C,1989-1990,1990,5,Houston Rockets,255,1.0
24,,"Feb 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
30,,"Feb 18, 1990",1981,6-10,Tom Chambers,PF,1989-1990,1990,8,Phoenix Suns,220,1.0
23,,"Feb 4, 1990",1989,6-0,Tim Hardaway,PG,1989-1990,1990,0,Golden State Warriors,175,1.0
26,,"Jan 28, 1990",1985,6-9,Karl Malone,PF,1989-1990,1990,4,Utah Jazz,265,1.0
27,,"Jan 21, 1990",1984,6-3,Alvin Robertson,SG,1989-1990,1990,5,Milwaukee Bucks,185,1.0
26,,"Jan 14, 1990",1986,6-6,Ron Harper,SG,1989-1990,1990,3,Los Angeles Clippers,185,1.0
29,,"Jan 7, 1990",1982,6-5,Terry Teagle,SG,1989-1990,1990,7,Golden State Warriors,195,1.0
26,,"Dec 30, 1989",1985,6-9,Karl Malone,PF,1989-1990,1990,4,Utah Jazz,265,1.0
28,,"Dec 24, 1989",1982,6-9,Terry Cummings,PF,1989-1990,1990,7,San Antonio Spurs,220,1.0
26,,"Dec 17, 1989",1985,6-7,Chris Mullin,SF,1989-1990,1990,4,Golden State Warriors,215,1.0
27,,"Dec 10, 1989",1984,6-6,Michael Jordan,SG,1989-1990,1990,5,Chicago Bulls,215,1.0
27,,"Dec 3, 1989",1985,7-0,Patrick Ewing,C,1989-1990,1990,4,New York Knicks,240,1.0
27,,"Nov 26, 1989",1983,6-7,Clyde Drexler,SG,1989-1990,1990,6,Portland Trail Blazers,210,1.0
27,,"Nov 19, 1989",1984,6-1,John Stockton,PG,1989-1990,1990,5,Utah Jazz,170,1.0
28,,"Nov 12, 1989",1984,6-5,Vern Fleming,G,1989-1990,1990,5,Indiana Pacers,185,1.0
26,,"Apr 21, 1991",1986,6-1,Scott Skiles,PG,1990-1991,1991,4,Orlando Magic,180,1.0
28,,"Apr 14, 1991",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
31,,"Apr 7, 1991",1979,6-9,Magic Johnson,PG,1990-1991,1991,11,Los Angeles Lakers,255,1.0
28,,"Mar 31, 1991",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
25,,"Mar 24, 1991",1988,6-5,Mitch Richmond,SG,1990-1991,1991,2,Golden State Warriors,215,1.0
25,,"Mar 17, 1991",1987,6-3,Kenny Smith,PG,1990-1991,1991,3,Houston Rockets,170,1.0
22,,"Mar 10, 1991",1990,6-8,Dennis Scott,SF,1990-1991,1991,0,Orlando Magic,229,1.0
27,,"Mar 3, 1991",1985,6-6,Gerald Wilkins,SG,1990-1991,1991,5,New York Knicks,185,1.0
25,,"Feb 24, 1991",1987,6-7,Reggie Miller,SG,1990-1991,1991,3,Indiana Pacers,185,1.0
22,,"Feb 17, 1991",1990,6-7,Lionel Simmons,SF,1990-1991,1991,0,Sacramento Kings,210,1.0
28,,"Feb 3, 1991",1984,6-9,Otis Thorpe,PF,1990-1991,1991,6,Houston Rockets,225,1.0
28,,"Jan 27, 1991",1985,5-10,Michael Adams,PG,1990-1991,1991,5,Denver Nuggets,163,1.0
24,,"Jan 20, 1991",1989,6-0,Tim Hardaway,PG,1990-1991,1991,1,Golden State Warriors,175,1.0
34,,"Jan 13, 1991",1977,6-7,Bernard King,SF,1990-1991,1991,13,Washington Bullets,205,1.0
31,,"Jan 6, 1991",1982,6-7,Dominique Wilkins,SF,1990-1991,1991,8,Atlanta Hawks,200,1.0
31,,"Dec 30, 1990",1982,6-4,Ricky Pierce,SG,1990-1991,1991,8,Milwaukee Bucks,205,1.0
28,,"Dec 23, 1990",1984,6-6,Michael Jordan,SG,1990-1991,1991,6,Chicago Bulls,215,1.0
24,,"Dec 16, 1990",1987,6-1,Kevin Johnson,PG,1990-1991,1991,3,Phoenix Suns,180,1.0
28,,"Dec 9, 1990",1984,6-1,John Stockton,PG,1990-1991,1991,6,Utah Jazz,170,1.0
28,,"Dec 2, 1990",1984,6-6,Michael Jordan,SG,1990-1991,1991,6,Chicago Bulls,215,1.0
28,,"Nov 25, 1990",1984,6-6,Charles Barkley,PF,1990-1991,1991,6,Philadelphia Sixers,252,1.0
28,,"Nov 18, 1990",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
27,,"Nov 11, 1990",1985,6-7,Chris Mullin,SF,1990-1991,1991,5,Golden State Warriors,215,1.0
28,,"Apr 19, 1992",1985,6-9,Karl Malone,PF,1991-1992,1992,6,Utah Jazz,265,1.0
26,,"Apr 12, 1992",1987,6-7,Reggie Lewis,SF,1991-1992,1992,4,Boston Celtics,195,1.0
24,,"Apr 5, 1992",1989,6-1,Mookie Blaylock,PG,1991-1992,1992,2,New Jersey Nets,190,1.0
26,,"Mar 29, 1992",1987,6-1,Mark Jackson,PG,1991-1992,1992,4,New York Knicks,180,1.0
22,,"Mar 22, 1992",1991,6-6,Larry Johnson,F,1991-1992,1992,0,Charlotte Hornets,250,1.0
28,,"Mar 15, 1992",1985,6-3,Joe Dumars,SG,1991-1992,1992,6,Detroit Pistons,190,1.0
28,,"Mar 8, 1992",1985,6-9,Karl Malone,PF,1991-1992,1992,6,Utah Jazz,265,1.0
25,,"Mar 1, 1992",1988,6-10,Danny Manning,F,1991-1992,1992,3,Los Angeles Clippers,230,1.0
25,,"Feb 23, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,175,1.0
29,,"Feb 16, 1992",1984,6-1,John Stockton,PG,1991-1992,1992,7,Utah Jazz,170,1.0
33,,"Feb 2, 1992",1981,6-10,Larry Nance,PF,1991-1992,1992,10,Cleveland Cavaliers,205,1.0
24,,"Jan 26, 1992",1989,6-6,Nick Anderson,GF,1991-1992,1992,2,Orlando Magic,228,1.0
25,,"Jan 19, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,175,1.0
29,,"Jan 12, 1992",1984,6-6,Michael Jordan,SG,1991-1992,1992,7,Chicago Bulls,215,1.0
29,,"Jan 5, 1992",1985,7-0,Patrick Ewing,C,1991-1992,1992,6,New York Knicks,240,1.0
26,,"Dec 29, 1991",1987,6-8,Scottie Pippen,SF,1991-1992,1992,4,Chicago Bulls,228,1.0
24,,"Dec 22, 1991",1989,6-9,Pervis Ellison,C,1991-1992,1992,2,Washington Bullets,210,1.0
30,,"Dec 15, 1991",1986,6-7,Dennis Rodman,PF,1991-1992,1992,5,Detroit Pistons,210,1.0
30,,"Dec 8, 1991",1983,6-4,Jeff Malone,SG,1991-1992,1992,8,Utah Jazz,205,1.0
26,,"Dec 1, 1991",1987,7-1,David Robinson,C,1991-1992,1992,2,San Antonio Spurs,250,1.0
29,,"Nov 24, 1991",1984,7-0,Kevin Willis,C,1991-1992,1992,7,Atlanta Hawks,245,1.0
26,,"Nov 17, 1991",1986,7-0,Brad Daugherty,C,1991-1992,1992,5,Cleveland Cavaliers,245,1.0
28,,"Nov 10, 1991",1985,6-7,Chris Mullin,SF,1991-1992,1992,6,Golden State Warriors,215,1.0
23,,"Apr 25, 1993",1991,6-6,Larry Johnson,F,1992-1993,1993,1,Charlotte Hornets,250,1.0
23,,"Apr 18, 1993",1992,6-10,Alonzo Mourning,C,1992-1993,1993,0,Charlotte Hornets,240,1.0
30,,"Apr 11, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
30,,"Apr 4, 1993",1984,6-6,Charles Barkley,PF,1992-1993,1993,8,Phoenix Suns,252,1.0
26,,"Mar 28, 1993",1991,7-2,Dikembe Mutombo,C,1992-1993,1993,1,Denver Nuggets,260,1.0
30,,"Mar 21, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
26,,"Mar 14, 1993",1990,6-2,Rumeal Robinson,PG,1992-1993,1993,2,New Jersey Nets,195,1.0
27,,"Mar 7, 1993",1988,6-11,Rony Seikaly,C,1992-1993,1993,4,Miami Heat,230,1.0
30,,"Feb 28, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
23,,"Feb 14, 1993",1991,6-6,Larry Johnson,F,1992-1993,1993,1,Charlotte Hornets,250,1.0
25,,"Feb 7, 1993",1989,6-6,Nick Anderson,GF,1992-1993,1993,3,Orlando Magic,228,1.0
29,,"Jan 31, 1993",1985,6-9,Karl Malone,PF,1992-1993,1993,7,Utah Jazz,265,1.0
30,,"Jan 24, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
30,,"Jan 17, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
23,,"Jan 10, 1993",1989,6-10,Shawn Kemp,C,1992-1993,1993,3,Seattle SuperSonics,280,1.0
27,,"Jan 3, 1993",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,250,1.0
25,,"Dec 27, 1992",1989,6-8,Sean Elliott,SF,1992-1993,1993,3,San Antonio Spurs,205,1.0
30,,"Dec 20, 1992",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
30,,"Dec 13, 1992",1984,6-6,Charles Barkley,PF,1992-1993,1993,8,Phoenix Suns,252,1.0
28,,"Dec 6, 1992",1986,6-5,Drazen Petrovic,SG,1992-1993,1993,3,New Jersey Nets,200,1.0
27,,"Nov 29, 1992",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,250,1.0
30,,"Nov 22, 1992",1984,6-6,Michael Jordan,SG,1992-1993,1993,8,Chicago Bulls,215,1.0
20,,"Nov 15, 1992",1992,7-1,Shaquille O'Neal,C,1992-1993,1993,0,Orlando Magic,325,1.0
28,,"Apr 24, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
28,,"Apr 17, 1994",1987,6-8,Scottie Pippen,SF,1993-1994,1994,6,Chicago Bulls,228,1.0
27,,"Apr 10, 1994",1991,7-2,Dikembe Mutombo,C,1993-1994,1994,2,Denver Nuggets,260,1.0
24,,"Apr 3, 1994",1989,6-10,Shawn Kemp,C,1993-1994,1994,4,Seattle SuperSonics,280,1.0
31,,"Mar 27, 1994",1984,7-0,Kevin Willis,C,1993-1994,1994,9,Atlanta Hawks,245,1.0
31,,"Mar 20, 1994",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,255,1.0
30,,"Mar 13, 1994",1985,6-3,Joe Dumars,SG,1993-1994,1994,8,Detroit Pistons,190,1.0
28,,"Mar 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
24,,"Feb 27, 1994",1989,6-10,Shawn Kemp,C,1993-1994,1994,4,Seattle SuperSonics,280,1.0
28,,"Feb 20, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
28,,"Feb 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
30,,"Jan 30, 1994",1986,6-6,Ron Harper,SG,1993-1994,1994,7,Los Angeles Clippers,185,1.0
23,,"Jan 23, 1994",1991,6-0,Kenny Anderson,PG,1993-1994,1994,2,New Jersey Nets,168,1.0
31,,"Jan 16, 1994",1985,7-0,Patrick Ewing,C,1993-1994,1994,8,New York Knicks,240,1.0
20,,"Jan 9, 1994",1993,6-9,Chris Webber,F-C,1993-1994,1994,0,Golden State Warriors,245,1.0
23,,"Jan 2, 1994",1992,6-9,Oliver Miller,C,1993-1994,1994,1,Phoenix Suns,280,1.0
28,,"Dec 26, 1993",1987,6-8,Scottie Pippen,SF,1993-1994,1994,6,Chicago Bulls,228,1.0
30,,"Dec 19, 1993",1985,6-9,Karl Malone,PF,1993-1994,1994,8,Utah Jazz,265,1.0
21,,"Dec 12, 1993",1992,7-1,Shaquille O'Neal,C,1993-1994,1994,1,Orlando Magic,325,1.0
28,,"Dec 5, 1993",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
26,,"Nov 28, 1993",1989,6-8,Glen Rice,SF,1993-1994,1994,4,Miami Heat,228,1.0
31,,"Nov 21, 1993",1984,6-6,Charles Barkley,PF,1993-1994,1994,9,Phoenix Suns,252,1.0
31,,"Nov 14, 1993",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,255,1.0
31,,"Apr 23, 1995",1985,6-9,Karl Malone,PF,1994-1995,1995,9,Utah Jazz,265,1.0
28,,"Apr 16, 1995",1991,7-2,Dikembe Mutombo,C,1994-1995,1995,3,Denver Nuggets,260,1.0
32,,"Apr 9, 1995",1983,6-7,Clyde Drexler,SG,1994-1995,1995,11,Houston Rockets,210,1.0
29,,"Apr 2, 1995",1987,7-1,David Robinson,C,1994-1995,1995,5,San Antonio Spurs,250,1.0
27,,"Mar 26, 1995",1989,7-1,Vlade Divac,C,1994-1995,1995,5,Los Angeles Lakers,260,1.0
21,,"Mar 19, 1995",1994,6-4,Jason Kidd,PG,1994-1995,1995,0,Dallas Mavericks,210,1.0
28,,"Mar 12, 1995",1988,7-4,Rik Smits,C,1994-1995,1995,6,Indiana Pacers,250,1.0
22,,"Mar 5, 1995",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,325,1.0
